id,timestamp,metal,currency,exchange,symbol,prev_close_price,open_price,low_price,high_price,open_time,price,ch,chp,ask,bid,price_gram_24k,price_gram_22k,price_gram_21k,price_gram_20k,price_gram_18k,price_gram_16k,price_gram_14k,price_gram_10k
1,1736504186,XAU,USD,FOREXCOM,FOREXCOM:XAUUSD,2670.39,2670.39,2668.58,2682.51,"2025-01-10 00:00:00",2681.34,10.95,0.41,2681.84,2680.79,86.21,79.02,75.43,71.84,64.66,57.47,50.29,35.92
2,1736504276,XAU,USD,FOREXCOM,FOREXCOM:XAUUSD,2670.39,2670.39,2668.58,2682.51,"2025-01-10 00:00:00",2681.32,10.93,0.41,2681.83,2680.86,86.21,79.02,75.43,71.84,64.65,57.47,50.29,35.92
3,1736504536,XAU,USD,FOREXCOM,FOREXCOM:XAUUSD,2670.39,2670.39,2668.58,2682.79,"2025-01-10 00:00:00",2681.27,10.88,0.41,2681.80,2680.74,86.20,79.02,75.43,71.84,64.65,57.47,50.29,35.92
4,1736504540,XAU,USD,FOREXCOM,FOREXCOM:XAUUSD,2670.39,2670.39,2668.58,2682.79,"2025-01-10 00:00:00",2681.37,10.98,0.41,2681.87,2680.73,86.21,79.02,75.43,71.84,64.66,57.47,50.29,35.92
5,1736504542,XAU,USD,FOREXCOM,FOREXCOM:XAUUSD,2670.39,2670.39,2668.58,2682.79,"2025-01-10 00:00:00",2681.37,10.97,0.41,2681.90,2680.83,86.21,79.02,75.43,71.84,64.66,57.47,50.29,35.92
6,1736504546,XAU,USD,FOREXCOM,FOREXCOM:XAUUSD,2670.39,2670.39,2668.58,2682.79,"2025-01-10 00:00:00",2681.36,10.97,0.41,2681.86,2680.89,86.21,79.02,75.43,71.84,64.66,57.47,50.29,35.92
7,1736504551,XAU,USD,FOREXCOM,FOREXCOM:XAUUSD,2670.39,2670.39,2668.58,2682.79,"2025-01-10 00:00:00",2680.71,10.32,0.39,2681.24,2680.17,86.19,79.00,75.41,71.82,64.64,57.46,50.28,35.91
8,1736504553,XAU,USD,FOREXCOM,FOREXCOM:XAUUSD,2670.39,2670.39,2668.58,2682.79,"2025-01-10 00:00:00",2680.78,10.39,0.39,2681.30,2680.29,86.19,79.01,75.42,71.82,64.64,57.46,50.28,35.91
9,1736504556,XAU,USD,FOREXCOM,FOREXCOM:XAUUSD,2670.39,2670.39,2668.58,2682.79,"2025-01-10 00:00:00",2680.55,10.16,0.38,2681.08,2680.18,86.18,79.00,75.41,71.82,64.64,57.45,50.27,35.91
10,1736504560,XAU,USD,FOREXCOM,FOREXCOM:XAUUSD,2670.39,2670.39,2668.58,2682.79,"2025-01-10 00:00:00",2680.65,10.26,0.38,2681.09,2680.21,86.18,79.00,75.41,71.82,64.64,57.46,50.27,35.91
11,1736504564,XAU,USD,FOREXCOM,FOREXCOM:XAUUSD,2670.39,2670.39,2668.58,2682.79,"2025-01-10 00:00:00",2680.84,10.45,0.39,2681.27,2680.39,86.19,79.01,75.42,71.83,64.64,57.46,50.28,35.91
12,1736504567,XAU,USD,FOREXCOM,FOREXCOM:XAUUSD,2670.39,2670.39,2668.58,2682.79,"2025-01-10 00:00:00",2680.69,10.30,0.39,2681.13,2680.24,86.19,79.00,75.41,71.82,64.64,57.46,50.28,35.91
13,1736504613,XAU,USD,FOREXCOM,FOREXCOM:XAUUSD,2670.39,2670.39,2668.58,2682.79,"2025-01-10 00:00:00",2681.12,10.73,0.40,2681.54,2680.70,86.20,79.02,75.43,71.83,64.65,57.47,50.28,35.92
