hoso_1,m5a1ct,m5a1c4,m5a1c5,m5a2ct,m5a2c11,m5a2c12,m5b1c7,m5b2ct,m5b2c4,m5b2c5,m5b3ct,m5b4c
10,396.0,0.0,0.0,23964.0,0.0,0.0,0.0,1044.0,0.0,0,25400,0
5,2780.0,0.0,0.0,37354.0,0.0,0.0,0.0,3170.0,0.0,0,5100,0
11,2245.0,0.0,0.0,29700.0,0.0,0.0,0.0,2740.0,0.0,0,2000,0
6,650.0,0.0,0.0,8842.0,0.0,0.0,0.0,1100.0,0.0,0,650,0
102,1353.0,0.0,0.0,33475.0,0.0,0.0,0.0,7231.0,0.0,0,1460,0
1,676.5,0.0,0.0,16579.4,0.0,0.0,0.0,1843.0,0.0,0,2680,0
101,907.0,0.0,0.0,19810.0,0.0,0.0,0.0,2969.0,0.0,0,800,0
103,1737.0,0.0,0.0,37627.0,0.0,0.0,0.0,17520.0,0.0,0,1070,0
10,1785.0,0.0,0.0,31252.0,0.0,0.0,0.0,7750.0,0.0,0,818,20000
5,2407.0,0.0,0.0,32326.8,0.0,0.0,0.0,11352.0,0.0,0,301990,56000
12,1481.0,0.0,0.0,28990.8,0.0,0.0,0.0,6414.0,0.0,0,1600,0
15,881.0,774.0,107.0,31144.5,31144.5,0.0,0.0,3402.0,3327.0,75,3486,0
6,1081.0,0.0,0.0,26655.4,0.0,0.0,0.0,28309.0,0.0,0,3587,0
4,902.0,0.0,0.0,10426.0,0.0,0.0,0.0,2017.0,0.0,0,2010,0
13,791.0,634.0,157.0,12005.5,11925.5,80.0,0.0,1129.0,1044.0,85,1520,0
14,2097.0,1607.0,490.0,33645.5,33645.5,0.0,1020.0,9788.0,9280.0,508,2980,1800
9,1682.0,0.0,0.0,18454.0,0.0,0.0,0.0,7626.0,0.0,0,7660,0
11,1463.0,0.0,0.0,34773.8,0.0,0.0,0.0,4501.0,0.0,0,4760,429
7,1199.0,0.0,0.0,33478.0,0.0,0.0,0.0,4685.0,0.0,0,1105,0
8,2098.0,0.0,0.0,37344.0,0.0,0.0,0.0,10624.0,0.0,0,3130,0
3,2168.0,0.0,0.0,41152.0,0.0,0.0,0.0,7678.0,0.0,0,2125,429
2,1289.0,0.0,0.0,19735.8,0.0,0.0,0.0,1860.0,0.0,0,2750,0
2,1005.0,0.0,0.0,31522.0,0.0,0.0,0.0,5220.0,0.0,0,7110,6000
9,1531.0,0.0,0.0,21698.0,0.0,0.0,0.0,3725.0,0.0,0,4500,0
16,687.5,0.0,0.0,15797.0,0.0,0.0,0.0,3697.0,0.0,0,1840,0
3,789.0,0.0,0.0,13759.3,0.0,0.0,0.0,3579.0,0.0,0,19435,13500
6,1001.0,0.0,0.0,17719.0,0.0,0.0,0.0,2575.0,0.0,0,1170,0
